Brand Name,Frequency,Timing,Available in London,Rating for Vishen,Feb 2026,Claude,Pill Dosage,Ingredients,Supplement Uses (from Ingredients),Nov25,Dec 2025,Case,Notes,Suggested Dose,Website,Image,Uses,Synergies,Don't Take With,Synergistic
Boron,2x Daily,☀️ Morning: Fed,Ordered,10,checked,checked,3mg,Boron,🦶 Feet Injury,checked,checked,,"1. What it Does

Trace mineral that regulates hormone metabolism (testosterone, estrogen, vitamin D).

Supports bone health by improving calcium, magnesium, and vitamin D utilization.

Reduces inflammation and oxidative stress (lowers CRP).

May improve cognitive performance (attention, motor coordination).

For you: boosts testosterone pathway, supports bone repair (foot healing), and helps maintain joint health.

2. Synergies

✅ Vitamin D3 + K2 + Magnesium → boron enhances their effects on bone strength and hormone balance.

✅ Zinc + Selenium → work together in testosterone metabolism and immune defense.

✅ Collagen + Vitamin C + Glycine → boron supports mineral utilization while collagen builds tissue.

3. What NOT to Take it With

❌ Very high supplemental calcium → boron already improves calcium uptake, so too much calcium may risk imbalance.

❌ Don’t megadose boron (>10 mg/day) → can cause nausea, headaches, or hormone disruption.

4. Timing & Why

With food (morning or lunch) → improves absorption and reduces risk of GI upset.

Works gradually; no stimulation → safe AM or PM.

5. Suggested Dosage (for you)

2–3 mg/day is effective for testosterone and bone health.

Some protocols use up to 6 mg/day short-term, but 2–3 mg is safer for long-term daily use.

6. Frequency

Daily, especially while focusing on bone/tendon healing and hormonal balance.

Long-term safe at 2–3 mg/day.

7. Best Category

🦴 Musculoskeletal / Joint Support (primary)
🧬 Hormonal / Endocrine Balance (secondary).

🎯 Rating for You

7 / 10

👉 Boron is helpful, but not essential. It adds subtle benefits for bone healing, testosterone support, and inflammation control. Since your Opti-Men already provides 2 mg boron, you don’t need extra supplementation — that dose is right in the sweet spot.",0.15 to 6 mg ,,,,,,
Conjugated Linoleic Acid (CLA),3x Daily,☀️ Morning: Fed,Have it,8,checked,checked,,,,,,,,,,,,,,
Coq 10,Daily,☀️ Morning: Fed,Have it,9,checked,checked,200mg,Coenzyme Q10 (CoQ10),⚡ Energy / Mitochondria,checked,checked,,"1. What it Does

Coenzyme in the electron transport chain → essential for ATP (cellular energy) production.

Improves mitochondrial efficiency and endurance.

Potent antioxidant → protects cells, blood vessels, and LDL cholesterol from oxidation.

Supports cardiovascular health (especially important since your LDL is elevated).

Enhances exercise performance and recovery.

Levels naturally decline with age — especially relevant at 49.

2. Synergies

✅ L-Carnitine + Riboflavin (B2) → amplify mitochondrial ATP production.

✅ Alpha-Lipoic Acid (ALA) → improves fatty acid utilization alongside CoQ10.

✅ NR/NMN + TMG → synergistic with NAD+ for energy pathways.

✅ Omega-3 → combined cardiovascular and anti-inflammatory protection.

3. What NOT to Take it With

❌ Avoid taking with warfarin or strong anticoagulants without medical guidance (may reduce drug effectiveness).

❌ No need to take it with other fat-soluble antioxidants (like high-dose Vitamin E) at the exact same time — spread them out for best absorption.

4. Timing & Why

Morning with a fat-containing meal → CoQ10 is fat-soluble; absorption is significantly better with fats.

Can also be taken pre-workout for mitochondrial support and endurance.

Avoid late evening (mildly energizing in some).

5. Suggested Dosage (for you)

200–300 mg/day (ubiquinol form preferred).

Given your goals (fat loss, muscle, healing, cardiovascular optimization): 200 mg AM with Omega-3 is ideal.

6. Frequency

Daily.

Long-term safe; levels build in tissues over weeks.

7. Best Category

⚡ Energy / Mitochondria (primary)
❤️ Cardiovascular & Metabolic (secondary).

🎯 Rating for You

10 / 10

👉 CoQ10 is core for you right now: it directly addresses energy metabolism, fat loss, cardiovascular protection, and recovery. Combined with L-Carnitine, ALA, and Riboflavin, it’s part of your Mitochondrial Power Stack, which is one of your highest-priority protocols.",30 to 200 mg per day.,,,⚡ Energy / Mitochondria,,,"CoQ10 synergy cheat sheet (what to take together the same day)

Best pairs
- With fat: Take CoQ10 with a meal containing fat; ubiquinol form has better absorption. Split doses if >200 mg/day.
- Selenium (100–200 mcg/day, selenomethionine): Supports selenoenzymes that help recycle CoQ10; strong cardiovascular synergy, especially in low-selenium diets.
- Vitamin E + Vitamin C (e.g., E 100–200 IU mixed tocopherols; C 250–500 mg): Antioxidant network; CoQ10 helps regenerate vitamin E. Take with meals.
- PQQ (10–20 mg): Complements CoQ10 by promoting mitochondrial biogenesis while CoQ10 supports electron transport; good for energy/cognitive support.
- L‑Carnitine or Acetyl‑L‑Carnitine (ALCAR 500–1,500 mg or L‑carnitine tartrate 1–2 g): Enhances fatty acid transport into mitochondria; pairs well for energy and heart support.
- Alpha‑lipoic acid (300–600 mg; R‑ALA 100–300 mg): Antioxidant/mitochondrial support and insulin sensitivity; consider away from mineral supplements.
- Omega‑3s (EPA+DHA 1–2 g/day): Cardiometabolic synergy and anti-inflammatory effects; take with meals containing fat.
- B‑complex (focus on B2 riboflavin 10–50 mg and B3 niacinamide/niacin 50–250 mg): Coenzymes for mitochondrial energy production; morning with food.
- Magnesium (200–400 mg, e.g., glycinate): Required for ATP function; often best in evening.
- Creatine monohydrate (3–5 g): Complements cellular energy systems; any time.
- Resveratrol (100–200 mg): Endothelial and mitochondrial signaling (SIRT1/PGC‑1α) complements CoQ10’s electron transport role.
- Taurine (1–2 g): Cardiac and endothelial support; can pair with CoQ10 for heart health.
- NAC (600–1,200 mg): Supports glutathione; complements antioxidant network.

Simple same‑day stacks (pick one focus)
- Cardiovascular: CoQ10 100–200 mg (ubiquinol) + Selenium 100–200 mcg + Omega‑3 1–2 g + Vitamin E 100–200 IU (+ optional Magnesium 200–400 mg).
- Energy/fatigue: CoQ10 100–200 mg + PQQ 10–20 mg + ALCAR 1,000 mg + B‑complex (+ optional Creatine 3–5 g).
- Metabolic support: CoQ10 100–200 mg + ALA 300–600 mg + Omega‑3 1–2 g + Magnesium 200–400 mg.
- Cognitive: CoQ10 100–200 mg + PQQ 10–20 mg + ALCAR 500–1,000 mg + Resveratrol 100–200 mg.

Timing tips
- CoQ10, omega‑3, vitamin E, resveratrol, selenium: with meals (with fat).
- ALA: empty stomach if tolerated; otherwise with food; away from minerals.
- Magnesium: evening may aid relaxation.
- Creatine, taurine, NAC, B‑complex: flexible; B‑complex often in morning.

Cautions
- Anticoagulants (e.g., warfarin): CoQ10 may reduce INR; avoid or monitor closely with a clinician.
- Blood pressure or glucose‑lowering meds: CoQ10 can modestly lower BP and improve glycemic control; monitor.
- High‑dose antioxidants around intense training: very high doses (especially C/E) may blunt some training adaptations; moderate doses are typically fine.
- Selenium has a narrow optimal range; avoid exceeding 200 mcg/day long term unless advised."
Creatine,2x Daily,☀️ Morning: Fed,Have it,10,checked,checked,3372mg,Creatine,,checked,checked,,"Here’s the full structured breakdown for Creatine Monohydrate 👇

1. What it Does

Increases phosphocreatine stores in muscle → faster ATP regeneration → more strength & endurance.

Boosts muscle hypertrophy (water + protein synthesis in muscle cells).

Improves power output, sprint performance, and recovery.

Neuroprotective → supports brain energy metabolism.

May help reduce fatigue and improve training consistency.

2. Synergies

✅ Protein / Whey shakes → creatine uptake improves with insulin spike from protein/carbs.

✅ L-Carnitine + CoQ10 + ALA → full mitochondrial + energy synergy.

✅ Collagen + Glycine + Vitamin C → complements recovery and tendon/ligament strength (indirectly supports your foot healing).

✅ Resistance training → creatine works best when combined with consistent strength training.

3. What NOT to Take it With

❌ Avoid taking with large doses of caffeine at the exact same time (some evidence of reduced absorption/effect). Caffeine during the day is fine if creatine is taken post-gym.

❌ No need to combine with multiple “designer creatines” — monohydrate is best studied and most effective.

4. Timing & Why

Post-gym with protein shake → best absorption (insulin-driven uptake).

Can also be taken any time of day (daily saturation matters more than timing).

Take with plenty of water → improves solubility, reduces GI upset.

5. Suggested Dosage (for you)

5 g/day (standard maintenance dose).

No need to cycle; loading phase (20 g/day for 5 days) isn’t necessary if you’re consistent.

6. Frequency

Daily (even on rest days).

Consistency > timing — muscles saturate over ~2–3 weeks.

7. Best Category

⚡ Energy / Mitochondria (primary)
🦴 Musculoskeletal / Joint Support (secondary, via indirect tendon/ligament benefits).

🎯 Rating for You

10 / 10

👉 Creatine is a non-negotiable cornerstone for your muscle gain and fat-loss goals. It boosts strength, recovery, aesthetics (fuller muscles), and even supports brain energy and healing. It’s cheap, safe, and gives you one of the highest returns in your stack.",5g,,,,,Caffeine,
Eye Complex,Daily,☀️ Morning: Fed,,,checked,,,Lutein,,,,,, 10-20 mg by mouth daily,,,,,,
Omega 3,Daily,☀️ Morning: Fed,Have it,10,checked,checked,,Omega-3,❤️ Cardiovascular & Metabolic,checked,checked,,,1g,,,❤️ Cardiovascular & Metabolic,,,
PQQ (short for Pyrroloquinoline Quinone),Daily,☀️ Morning: Fed,Have it,,checked,,,,,checked,checked,,,,,,,,,
Spermidine,Daily,☀️ Morning: Fed,Have it,6,checked,,8mg Spermidine Trihydrochloride,Spermidine,🔋 Longevity / Cellular Health,checked,checked,,"1. What it Does

Stimulates autophagy (cellular recycling/cleanup process) → longevity and anti-aging.

Supports mitochondrial renewal and improves cell efficiency.

May enhance cognitive function and memory by improving neuronal health.

Promotes cardiovascular health and reduces systemic inflammation.

May improve hair and skin health via cellular regeneration.

Your TruHealth flagged low spermidine, so you’re not getting enough naturally from diet.

2. Synergies

✅ NR/NMN + TMG → enhances NAD+ pathways while spermidine drives autophagy.

✅ Resveratrol → longevity stack synergy (SIRT1 + autophagy).

✅ Omega-3 + CoQ10 → protect mitochondria while spermidine renews them.

✅ Collagen + Glycine + Vitamin C → tissue repair works in parallel with spermidine’s cellular cleanup.

3. What NOT to Take it With

❌ No major supplement conflicts.

⚠️ Avoid stacking with very high-dose antioxidants at the exact same time → autophagy requires some oxidative signaling.

4. Timing & Why

With food (better absorbed).

Best morning or midday → supports autophagy and cellular cleanup during active hours.

Works synergistically with intermittent fasting → amplifies the fasting-driven autophagy effect.

5. Suggested Dosage (for you)

1 mg/day (standardized extract) — matches the therapeutic level used in longevity studies.

Some protocols use up to 6 mg/day, but 1 mg is enough to normalize your low score.

6. Frequency

Daily for best effect (autophagy is ongoing).

Long-term safe and cumulative — consistency matters.

7. Best Category

🔋 Longevity / Cellular Health (primary)
🧠 Cognitive Health (secondary, since it protects neurons).

🎯 Rating for You

8 / 10

👉 Spermidine is important because your levels are low. It won’t directly drive fat loss or hypertrophy, but it supports longevity, cellular renewal, aesthetics (skin/hair), and mitochondrial resilience. It’s a second-tier priority: essential for long-term health and regeneration, but not as immediate as your fat-loss and repair drivers (Berberine, NAC, ALA, Collagen).",1-2/mg a day,,,🔋 Longevity / Cellular Health,,,
Vitamin D3 K2,Daily,☀️ Morning: Fed,Have it,9,checked,checked,,"K2,Vitamin D3",❤️ Cardiovascular & Metabolic,checked,checked,,"Vitamin D3 K2 5.000 IU & 100ug (MK7) 180 High Strength

1. What it Does

Vitamin D3 → regulates calcium absorption, immune function, testosterone, mood, and muscle strength.

Vitamin K2 (MK-7 form) → directs calcium into bones and teeth and away from arteries → prevents calcification.

The combo is synergistic: D3 raises calcium availability, K2 makes sure it goes to the right places.

For you: maintains bone health (foot recovery), supports muscle building hormones, keeps arteries flexible (cardiovascular protection).

2. Synergies

✅ Magnesium → cofactor for both D3 and K2 activation.

✅ Omega-3 → cardiovascular + anti-inflammatory synergy.

✅ Collagen + Glycine + Vitamin C → structural repair stack for bone/tendons.

3. What NOT to Take it With

❌ High-dose calcium supplements → risk of arterial calcification if not balanced (you don’t need calcium supplements).

❌ Don’t stack with very high separate D3 doses → you’re already optimal on labs.

4. Timing & Why

Morning or with your first meal → avoids interference with melatonin at night.

Must be taken with food containing fat → both D3 and K2 are fat-soluble.

Best paired with Omega-3 or other fat-containing meals for absorption.

5. Suggested Dosage (for you)

D3: 1000–2000 IU/day (since your level is already optimal at 87 nmol/L; avoid mega-dosing).

K2 (MK-7): 100–200 mcg/day (key for bone + vascular health).

If your supplement is fixed-dose (e.g., 5000 IU D3 + 100 mcg K2): take it every 2–3 days, not daily.

6. Frequency

Daily (low dose) or Every 2–3 days (if using high-dose capsules like 5000 IU D3).

Adjust seasonally: more frequent in winter (low sunlight), less in summer.

7. Best Category

❤️ Cardiovascular & Metabolic (primary)
🦴 Musculoskeletal / Joint Support (secondary, for bone repair and tendon health).

🎯 Rating for You

9 / 10

👉 The combo is essential for your bone healing (feet), cardiovascular health (LDL is elevated), and muscle performance. You just need to adjust frequency since your D3 is already optimal — daily high-dose is unnecessary.","100 and 300 micrograms, 1000 IU (for regular usage) to 5000 IU (for recovery from low VitD levels)",,,,,,
Citrus Bergamot,Daily,🫖 Afternoon,Have it,9,checked,checked,500-1000mg,,,,,,,,,,,,,
Collagen Type I & III,3x Daily,🫖 Afternoon,Have it,10,checked,checked,1200mg,Collagen,🦴 Musculoskeletal / Joint Support,checked,checked,,"1. What it Does

Type I Collagen → main structural protein in skin, bones, tendons, ligaments.

Type III Collagen → supports muscles, vessels, and skin elasticity.

Provides building blocks (glycine, proline, hydroxyproline) for tissue repair.

Improves skin elasticity, hydration, and aesthetics.

Supports bone healing and tendon/ligament repair (vital for your foot recovery).

Helps reduce exercise-induced joint pain and speeds recovery.

2. Synergies

✅ Vitamin C → required for collagen cross-linking (without it, collagen peptides can’t form strong fibers).

✅ Glycine → collagen’s main amino acid, amplifies tendon and skin repair.

✅ Curcumin + Boswellia → reduce inflammation while collagen repairs tissues.

✅ Hyaluronic Acid → hydration + elasticity for skin and joints.

✅ Omega-3 → reduces inflammation in connective tissue.

3. What NOT to Take it With

❌ No major conflicts.

⚠️ Avoid combining with very high protein shakes at the exact same time — collagen’s unique amino acids are best absorbed when not drowned out by larger mixed proteins. Take it separately.

4. Timing & Why

Morning in a shake (with Vitamin C + Glycine) → maximizes connective tissue/tendon healing.

Post-workout → provides raw materials for joint, tendon, and skin repair.

Can also be taken before bed → supports overnight tissue recovery.

Works best with Vitamin C for cross-linking.

5. Suggested Dosage (for you)

10–15 g/day marine collagen peptides.

Split: 5–10 g AM (with Vitamin C + Glycine), optional 5 g PM.

6. Frequency

Daily, long-term (benefits accumulate over weeks/months).

Especially important during foot healing and high training load.

7. Best Category

🦴 Musculoskeletal / Joint Support (primary)
🧖 Skin, Hair & Aesthetics (secondary)
🦶 Feet Injury (secondary, for tendon/ligament repair).

🎯 Rating for You

10 / 10

👉 Pure marine collagen (with Vitamin C + Glycine) is essential for you right now: it directly supports foot healing, enhances aesthetics (skin, hair, nails), and aids in joint/tendon resilience under heavy training.",10-20 grams,,,,"Vitamin C,Glycine",,
Collagen Type II  (Undenatured),Daily,🫖 Afternoon,Have it,9,checked,checked,,Collagen (Undenatured) Type II ,🦶 Feet Injury,checked,checked,,"Here’s your structured breakdown for Collagen Type II 👇

1. What it Does

Type II collagen is the main form in cartilage, joint surfaces, and intervertebral discs.

Helps rebuild cartilage and reduce joint pain/stiffness.

Supports tendon and ligament integrity (different from Type I & III, which are more for skin, bone, muscle).

May reduce inflammation in joints (used clinically in osteoarthritis and rheumatoid arthritis studies).

For you: highly relevant for foot healing, joint resilience under heavy training, and long-term mobility.

2. Synergies

✅ Type I & III Collagen + Glycine + Vitamin C → complete collagen spectrum (skin, bone, tendon + cartilage).

✅ Curcumin + Boswellia → reduce joint inflammation while collagen II rebuilds tissue.

✅ Omega-3 → anti-inflammatory protection for cartilage.

✅ Hyaluronic Acid → lubricates joints while collagen supports structure.

3. What NOT to Take it With

❌ No major supplement conflicts.

⚠️ Some forms (undenatured UC-II) work at low doses (40 mg) → don’t overstack with massive amounts of other collagens at the exact same time; absorption pathways differ.

4. Timing & Why

With food (protein helps absorption).

Best taken morning or with your collagen repair stack (Type I & III + Vitamin C + Glycine).

Works long-term — not a quick hit.

5. Suggested Dosage (for you)

UC-II form (undenatured type II collagen): 40 mg/day (very effective at low dose).

If hydrolyzed collagen type II → 500–1000 mg/day.

6. Frequency

Daily, long-term (joint/cartilage benefits build over months).

Safe for chronic use.

7. Best Category

🦴 Musculoskeletal / Joint Support (primary)
🦶 Feet Injury (secondary, since cartilage and tendon integrity are part of recovery).

🎯 Rating for You

9 / 10

👉 Type II collagen is highly relevant right now: it directly supports joint and cartilage healing, which ties to your foot recovery and resilience for training. Combined with your Type I & III collagen, Vitamin C, Glycine, Boswellia, and Curcumin, it gives you a complete tendon + cartilage repair system.",,,,,,,
L-Theanine,2x Daily,🫖 Afternoon,Have it,7,checked,checked,100mg,Theanine,"🌿 Stress / Mood Modulators,🌙 Recovery / Sleep",checked,checked,,"Here’s your structured breakdown for GABA (Gamma-Aminobutyric Acid) 👇

1. What it Does

Primary inhibitory neurotransmitter in the brain → promotes relaxation and calm.

Helps reduce anxiety, stress, and nervous system hyperactivity.

Supports falling asleep faster and deeper sleep.

May improve growth hormone release when taken before sleep (supports muscle recovery).

For you: supports nervous system balance, sleep depth, and healing recovery.

2. Synergies

✅ Magnesium Glycinate/Taurate/Threonate → enhances calming effect.

✅ Glycine + 5-HTP + Ashwagandha → full sleep stack synergy.

✅ Theanine → promotes relaxed focus during the day if taken together in lower doses.

3. What NOT to Take it With

❌ Avoid combining with alcohol or sedative drugs → excessive CNS depression.

❌ High doses + other strong sleep aids (like 5-HTP + melatonin + GABA) may cause morning grogginess.

⚠️ Oral GABA has limited brain penetration; benefits are often from gut-brain signaling (still effective for calming).

4. Timing & Why

30–60 min before bed → improves relaxation and sleep onset.

Can also be used in the afternoon or evening if stress/anxiety spikes.

Take with or without food — absorption isn’t strongly affected by meals.

5. Suggested Dosage (for you)

100–500 mg per serving.

For you: 100–200 mg nightly with magnesium + glycine (baseline).

Up to 500 mg on stressful days or when sleep is disrupted.

6. Frequency

As needed (use on nights you need deeper calm).

Can be used daily at low doses for sleep, but best to rotate with other calming aids (glycine, ashwagandha, theanine).

7. Best Category

🌙 Recovery / Sleep (primary)
🌬️ Breath & Nervous System Regulators (secondary).

🎯 Rating for You

7 / 10

👉 GABA is helpful for sleep and relaxation, but not essential daily since you already have Magnesium + Glycine + Ashwagandha (all strong calming agents). Think of GABA as an “on-demand tool” for nights of high stress, overtraining, or jet lag, rather than a core daily driver.",200mg,,,🌿 Stress / Mood Modulators,,,
MSM (Methylsulfonylmethane),,🫖 Afternoon,Have it,9,checked,,,MSM (Methylsulfonylmethane),🦶 Feet Injury,checked,checked,,"Why: Reduces stiffness and supports collagen cross-linking + joint pain reduction

Dose: 1–2g/day

Brand: Doctor's Best, Jarrow, or Thorne",,,,,,,
Vitamin C,When Needed,🫖 Afternoon,Have it,8,checked,checked,1000mg,Vitamin C,🧪 Immune & Inflammation Control,checked,,,"1. What it Does

Essential antioxidant → neutralizes free radicals, regenerates Vitamin E.

Critical for collagen synthesis (skin, joints, tendon, bone healing).

Supports immune function (white blood cells, antiviral defense).

Enhances iron absorption from plant foods.

Speeds wound repair and tissue recovery.

2. Synergies

✅ Collagen + Glycine → Vitamin C is required for collagen cross-linking (directly supports your feet healing and aesthetics).

✅ Curcumin + Omega-3 → combined anti-inflammatory synergy.

✅ ALA + NAC → antioxidant network recycling.

✅ Zinc → immune system synergy.

3. What NOT to Take it With

❌ Very high doses (>1000 mg) near workouts → may blunt hypertrophy signals (ROS is part of muscle growth).

❌ Take separately from ALA if you’re using ALA for glucose disposal with meals (since both compete for absorption).

⚠️ Can increase oxalate load if megadosed → kidney stone risk in susceptible people.

4. Timing & Why

Best with meals → improves absorption and reduces stomach upset.

Ideal morning or afternoon (avoid mega-dosing at night, can sometimes disrupt sleep).

For collagen stack, take with your collagen + glycine shake → ensures optimal tendon/skin repair.

5. Suggested Dosage (for you)

500 mg daily (split 250 mg AM + 250 mg PM if possible).

If sick, inflamed, or healing injury → increase to 1000 mg/day short-term.

6. Frequency

Daily, ideally in smaller divided doses (body doesn’t store large amounts, excess is urinated out).

Can rotate down to 250 mg on “maintenance” phases if diet is rich in fruits/veggies.

7. Best Category

🧪 Immune & Inflammation Control (primary)
🦶 Feet Injury (secondary, because of its role in collagen/tissue healing).

🎯 Rating for You

8 / 10

👉 Not a top-tier fat-loss driver, but highly relevant for your foot healing, skin/aesthetic collagen support, and immune resilience while training hard.",75 milligrams (mg),,,,"Collagen,Glycine,Curcumin Phytosome,Omega-3,Zinc,NAC (N-Acetyl Cysteine)",,
Apigenin,When Needed,🌙 Night,Ordered,7,checked,checked,50mg,,,,,,,,,,,,,
Glycine,3x Daily,🌙 Night,Have it,10,checked,checked,3g,Glycine,"🌙 Recovery / Sleep,🦴 Musculoskeletal / Joint Support,🦶 Feet Injury",checked,checked,,"1. What it Does

Most abundant amino acid in collagen → crucial for connective tissue, tendon, and bone healing (perfect for your foot recovery).

Improves sleep quality → lowers core body temperature, increases deep sleep and REM.

Supports glutathione synthesis (works with NAC + Selenium + ALA).

Enhances insulin sensitivity and glucose metabolism.

Helps with skin elasticity and aesthetics (collagen formation).

2. Synergies

✅ Collagen → glycine is its main amino acid; taking both accelerates tendon/ligament repair.

✅ Vitamin C → required for collagen cross-linking; combine with glycine + collagen for tissue healing.

✅ NAC + Selenium + ALA → glycine is a building block of glutathione, joining your antioxidant defense stack.

✅ Magnesium + GABA + 5-HTP → synergistic sleep stack.

3. What NOT to Take it With

❌ No serious contraindications; very safe.

⚠️ At very high doses (>10 g at once) → may cause mild stomach upset.

4. Timing & Why

Before bed (3 g) → improves sleep depth and recovery.

With collagen + Vitamin C (AM or PM) → maximizes connective tissue/tendon repair.

Can also be taken post-workout → supports recovery and glucose balance.

5. Suggested Dosage (for you)

3 g before bed (for sleep + recovery).

Optional 2–3 g with collagen + Vitamin C during the day (for foot/tendon healing and aesthetics).
👉 Total: 3–6 g/day.

6. Frequency

Daily (safe long-term).

Can be increased temporarily during injury-healing phases.

7. Best Category

🌙 Recovery / Sleep (primary)
🦴 Musculoskeletal / Joint Support (secondary)
🦶 Feet Injury (secondary, tendon/bone healing).

🎯 Rating for You

10 / 10

👉 Glycine is a core supplement for you right now: it accelerates foot healing, improves sleep (recovery + fat loss hormone regulation), and boosts aesthetics (skin, collagen). It hits all three of your big goals at once.",,,,🌙 Recovery / Sleep,,,
Magnesium Glycinate,2x Daily,🌙 Night,Have it,9,checked,checked,400-600mg,Magnesium Glycinate,🌙 Recovery / Sleep,checked,checked,,"1. What it Does

Highly bioavailable form of magnesium bound to glycine.

Supports muscle relaxation, reduces cramps, and calms the nervous system.

Improves sleep quality by lowering nervous system excitability.

Reduces cortisol and supports recovery.

Essential for energy metabolism (involved in 300+ enzymatic reactions).

2. Synergies

✅ Glycine → doubles down on sleep depth and tissue healing.

✅ Ashwagandha, GABA, 5-HTP, Theanine → synergistic calming/sleep support.

✅ Vitamin D3 + K2 → magnesium is required to activate Vitamin D.

✅ Omega-3 → combined stress-reduction and cardiovascular protection.

3. What NOT to Take it With

❌ Avoid taking at the same time as Alpha-Lipoic Acid, iron, or zinc → they compete for absorption.

❌ Very high doses (>600 mg elemental) may cause loose stools (glycinate form is gentler, but still possible).

4. Timing & Why

Evening (1–2 hrs before bed) → maximizes relaxation and sleep effects.

Can also be used post-workout to relax muscles.

Best taken with food → reduces GI upset.

5. Suggested Dosage (for you)

200–400 mg elemental magnesium/day.

For you: 400 mg at night (glycinate is calming, perfect for recovery and sleep).

6. Frequency

Daily, especially during your current training + healing phase.

Safe long-term; can adjust down to 200 mg once recovery stabilizes.

7. Best Category

🌙 Recovery / Sleep (primary)
🦶 Feet Injury (secondary, for muscle/tendon relaxation and healing support).

🎯 Rating for You

10 / 10

👉 Magnesium Glycinate is essential for you right now: it improves sleep (which drives fat loss, muscle gain, and healing), relaxes muscles/tendons (supporting foot recovery), and enhances stress resilience.",,,,🌙 Recovery / Sleep,,"Alpha Lipoic Acid,Zinc,iron,Calcium",
Mindvalley States Dream,When Needed,🌙 Night,Have it,8,,,,"GABA,Magnesium Glycinate,DMAE L Bitartrate,Mugwort,Melatonin","🌿 Stress / Mood Modulators,🌙 Recovery / Sleep",,,,"🌙 Mindvalley States Dream — Ingredient Breakdown

1. EZGABA® (750 mg)

Enhanced form of GABA → calms nervous system, reduces mental chatter.

Similar effect to your standalone GABA (500 mg).

✅ Strong relaxation aid, but stacking with your existing GABA could oversedate.

2. Magnesium Glycinate (85 mg)

Supports relaxation, muscle recovery.

✅ Good, but low dose compared to your dedicated Magnesium Taurate (600 mg) + Magnesium Glycinate pill (2000 mg ≈ 260–320 mg elemental).

More of a “booster” than a main source.

3. Mugwort Extract (450 mg)

Traditional herb for dream vividness/recall.

✅ Niche benefit — dream intensity, not directly tied to recovery or healing.

Fine to rotate if you want lucid dreaming experiences.

4. DMAE (150 mg)

Choline precursor → supports neurotransmitters, sometimes used for cognitive sharpness.

⚠️ Some find DMAE stimulating → could interfere with deep sleep if you’re sensitive.

5. Melatonin (0.5 mg)

Small, “physiological” dose → helps reset circadian rhythm.

✅ Safe and effective for travel, jet lag, or nights when your sleep schedule is off.

Not needed nightly if your circadian rhythm is stable.","100mg, 100 – 200 mg, 1x daily, 0.5 - 1mg",,,,,,
Zinc,Every 2 Days,🌙 Night,Ordered,7,checked,checked,,,,,,,,,,,,,,
NAC N-Acetyl-Cysteine,When Needed,💪 Post-Gym,Have it,10,,,600mg,NAC (N-Acetyl Cysteine),🛡️ Antioxidants / Detox,checked,checked,,,"600 to 1,800 milligrams (mg) per day",,,,,"Zinc,Copper,Charcoal","NAC (N‑acetyl‑cysteine) synergies — what pairs well on the same day and why

Most synergistic pairs (mechanism + practical dosing):
- Glycine: Completes the glutathione tripeptide with cysteine from NAC (GlyNAC combo). Dose: 1–3 g glycine with 600–1200 mg NAC daily (together or divided).
- Vitamin C: Recycles antioxidants, may blunt histamine reactions to NAC. Dose: 250–1000 mg with NAC.
- Selenium: Cofactor for glutathione peroxidase, supports NAC-driven glutathione activity. Dose: 100–200 mcg/day (selenometionine), with food.
- Alpha‑lipoic acid (ALA): Regenerates glutathione and vitamins C/E; complementary redox support. Dose: 100–300 mg/day, away from minerals.
- Riboflavin (B2) ± B‑complex: B2 supports glutathione reductase; B6/B12/folate aid sulfur amino acid metabolism. Dose: standard B‑complex with food.
- CoQ10: Mitochondrial antioxidant synergistic with NAC’s redox support. Dose: 100–200 mg/day with fat.
- Milk thistle (silymarin): Hepatoprotective, complements NAC for liver support. Dose: 150–300 mg silymarin 1–2x/day with food.
- Taurine: Sulfur amino acid supporting bile flow, osmoregulation; complements NAC in liver/cardiovascular support. Dose: 500–1500 mg/day; evening is fine.
- Quercetin + Bromelain: Respiratory/mast‑cell support; bromelain’s proteolysis complements NAC’s mucolytic action. Dose: Quercetin 250–500 mg 1–2x/day with food; Bromelain 100–500 mg 1–2x/day away from protein.
- Magnesium: Broad enzymatic support and relaxation; helpful if NAC causes tension/headache. Dose: 100–200 mg elemental in evening.

Also complementary:
- Vitamin E (100–200 IU) and Omega‑3s (1–2 g EPA+DHA) for anti‑inflammatory/antioxidant network.
- Molybdenum (50–150 mcg/day) if sensitive to sulfites/thiols from sulfur amino acid metabolism.

Simple day plan (example):
- Morning: NAC 600 mg + Glycine 1–2 g + Vitamin C 500 mg + Selenium 100 mcg.
- Midday: ALA 200 mg (away from minerals) ± Quercetin 250 mg.
- Evening: Glycine 1–2 g + Taurine 1 g + Magnesium 150–200 mg. Take CoQ10 100–200 mg with a fatty meal anytime.

Typical NAC use:
- 600 mg once or twice daily. Take with food if it upsets your stomach; empty stomach may improve absorption in some.

Cautions and spacing:
- Separate from multimineral/iron/copper/zinc supplements and activated charcoal by 2–3 hours (thiol binding/adsorption).
- May potentiate nitroglycerin and other nitrates (additive vasodilation); caution with antihypertensives and antiplatelets/anticoagulants (mild antiplatelet effect).
- Histamine‑prone or asthmatic individuals may react; start low and pair with vitamin C/quercetin.
- Not established in pregnancy/lactation; avoid unless advised by a clinician.
- If you have ulcers, recent surgery, or are on chemo, immunosuppressants, or complex regimens, consult a clinician before stacking."
